route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,fare_rule
30402,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q06,SAUJANA PARKING - KAMPUNG BENUK,3,FF0000,000000,V
30449,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q11,SAUJANA PARKING - ARANG ROAD,3,FF0000,000000,V
30450,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q12,SAUJANA PARKING - TAMAN HUI SING,3,FF0000,000000,V
30399,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q10,OPEN AIR MARKET - TERMINAL BAS SERIAN,3,FF0000,000000,V
30454,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q16,OPEN AIR MARKET - SUKMA,3,FF0000,000000,V
30401,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q05,SAUJANA PARKING - SMKA MATANG 2,3,FF0000,000000,V
30455,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q15,STUTONG BARU / KUCHING SENTRAL - SAUJANA PARKING,3,FF0000,000000,V
30453,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q14,OPEN AIR MARKET - SUMMER MALL,3,FF0000,000000,V
30452,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q13,OPEN AIR MARKET - SIBURAN,3,FF0000,000000,V
30405,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q09,OPEN AIR MARKET - MUARA TEBAS,3,FF0000,000000,V
30404,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q08,SAUJANA PARKING - TERMINAL BAS BAU,3,FF0000,000000,V
30403,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q07,SAUJANA PARKING - SJK CHUNG HUA BATU KAWA,3,FF0000,000000,V
30395,CC9F83EF-A88E-471E-9ACB4849AF7010F6,Q01,SAUJANA PARKING - TAMAN MALIHAH,3,FF0000,000000,V
