    shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP_30395_0,1.557719,110.342517,1
SHP_30395_0,1.554839,110.338447,2
SHP_30395_0,1.553003,110.336086,3
SHP_30395_0,1.553211,110.333206,4
SHP_30395_0,1.553467,110.328956,5
SHP_30395_0,1.5568129,110.3227775,6
SHP_30395_0,1.560731,110.321789,7
SHP_30395_0,1.564611,110.3215,8
SHP_30395_0,1.565642,110.318608,9
SHP_30395_0,1.564783,110.312733,10
SHP_30395_0,1.5726523,110.3028535,11
SHP_30395_0,1.573178,110.296775,12
SHP_30395_0,1.55405,110.244936,13
SHP_30395_0,1.547947,110.240389,14
SHP_30399_0,1.558621,110.341297,1
SHP_30399_0,1.5603835,110.3449161,2
SHP_30399_0,1.552083,110.342097,3
SHP_30399_0,1.547519,110.341664,4
SHP_30399_0,1.542892,110.341134,5
SHP_30399_0,1.539781,110.341636,6
SHP_30399_0,1.535681,110.341872,7
SHP_30399_0,1.534631,110.345392,8
SHP_30399_0,1.535222,110.348667,9
SHP_30399_0,1.540011,110.353414,10
SHP_30399_0,1.536758,110.356328,11
SHP_30399_0,1.5320537,110.3587649,12
SHP_30399_0,1.529031,110.361858,13
SHP_30399_0,1.528825,110.363936,14
SHP_30399_0,1.527522,110.370233,15
SHP_30399_0,1.525547,110.376797,16
SHP_30399_0,1.515617,110.386142,17
SHP_30399_0,1.480261,110.420175,18
SHP_30399_0,1.467314,110.418422,19
SHP_30399_0,1.464722,110.42475,20
SHP_30399_0,1.461694,110.419011,21
SHP_30399_0,1.374719,110.385183,22
SHP_30399_0,1.373228,110.390369,23
SHP_30399_0,1.369378,110.398506,24
SHP_30399_0,1.365183,110.402869,25
SHP_30399_0,1.361639,110.405361,26
SHP_30399_0,1.354161,110.408792,27
SHP_30399_0,1.345819,110.408631,28
SHP_30399_0,1.314325,110.407311,29
SHP_30399_0,1.296161,110.411553,30
SHP_30399_0,1.280747,110.428658,31
SHP_30399_0,1.279744,110.436853,32
SHP_30399_0,1.279967,110.443911,33
SHP_30399_0,1.277733,110.451944,34
SHP_30399_0,1.271933,110.458167,35
SHP_30399_0,1.256278,110.475611,36
SHP_30399_0,1.249778,110.484278,37
SHP_30399_0,1.239083,110.498194,38
SHP_30399_0,1.233647,110.502108,39
SHP_30399_0,1.2229,110.511808,40
SHP_30399_0,1.209194,110.5295,41
SHP_30399_0,1.200417,110.542694,42
SHP_30399_0,1.191722,110.556861,43
SHP_30399_0,1.187944,110.56225,44
SHP_30399_0,1.183417,110.564528,45
SHP_30399_0,1.1765,110.565,46
SHP_30399_0,1.172306,110.5665,47
SHP_30399_0,1.164571,110.567035,48
SHP_30401_0,1.557719,110.342517,1
SHP_30401_0,1.554839,110.338447,2
SHP_30401_0,1.553003,110.336086,3
SHP_30401_0,1.553211,110.333206,4
SHP_30401_0,1.553467,110.328956,5
SHP_30401_0,1.5568129,110.3227775,6
SHP_30401_0,1.560731,110.321789,7
SHP_30401_0,1.564611,110.3215,8
SHP_30401_0,1.565642,110.318608,9
SHP_30401_0,1.564783,110.312733,10
SHP_30401_0,1.5726523,110.3028535,11
SHP_30401_0,1.573178,110.296775,12
SHP_30401_0,1.576872,110.254922,13
SHP_30401_0,1.577931,110.25085,14
SHP_30401_0,1.582456,110.23395,15
SHP_30401_0,1.601297,110.224761,16
SHP_30401_0,1.635117,110.195592,17
SHP_30402_0,1.557719,110.342517,1
SHP_30402_0,1.552083,110.342097,2
SHP_30402_0,1.547519,110.341664,3
SHP_30402_0,1.5428706,110.3412945,4
SHP_30402_0,1.538319,110.341311,5
SHP_30402_0,1.534833,110.341264,6
SHP_30402_0,1.530931,110.341792,7
SHP_30402_0,1.526972,110.341464,8
SHP_30402_0,1.521889,110.338108,9
SHP_30402_0,1.514883,110.335928,10
SHP_30402_0,1.507922,110.335478,11
SHP_30402_0,1.499489,110.333686,12
SHP_30402_0,1.4943,110.331308,13
SHP_30402_0,1.484703,110.331497,14
SHP_30402_0,1.470811,110.330611,15
SHP_30402_0,1.4609,110.330297,16
SHP_30402_0,1.439519,110.329206,17
SHP_30402_0,1.432878,110.328536,18
SHP_30402_0,1.427011,110.326464,19
SHP_30402_0,1.424886,110.326442,20
SHP_30402_0,1.422139,110.325586,21
SHP_30402_0,1.388925,110.323581,22
SHP_30402_0,1.352653,110.313064,23
SHP_30402_0,1.310689,110.293239,24
SHP_30402_0,1.308353,110.293608,25
SHP_30403_0,1.557719,110.342517,1
SHP_30403_0,1.554839,110.338447,2
SHP_30403_0,1.550433,110.337872,3
SHP_30403_0,1.547797,110.337769,4
SHP_30403_0,1.539456,110.337372,5
SHP_30403_0,1.536297,110.337225,6
SHP_30403_0,1.534531,110.337064,7
SHP_30403_0,1.518653,110.328433,8
SHP_30403_0,1.516872,110.323336,9
SHP_30403_0,1.514883,110.317494,10
SHP_30403_0,1.512756,110.310881,11
SHP_30403_0,1.509467,110.301044,12
SHP_30403_0,1.507825,110.295728,13
SHP_30403_0,1.491728,110.294158,14
SHP_30403_0,1.460944,110.290783,15
SHP_30403_0,1.467128,110.289611,16
SHP_30403_0,1.508133,110.290147,17
SHP_30403_0,1.509031,110.280122,18
SHP_30403_0,1.508964,110.2669,19
SHP_30404_0,1.557719,110.342517,1
SHP_30404_0,1.552083,110.342097,2
SHP_30404_0,1.547519,110.341664,3
SHP_30404_0,1.5428706,110.3412945,4
SHP_30404_0,1.538319,110.341311,5
SHP_30404_0,1.534833,110.341264,6
SHP_30404_0,1.530931,110.341792,7
SHP_30404_0,1.526972,110.341464,8
SHP_30404_0,1.521889,110.338108,9
SHP_30404_0,1.514883,110.335928,10
SHP_30404_0,1.507922,110.335478,11
SHP_30404_0,1.499489,110.333686,12
SHP_30404_0,1.4943,110.3313097,13
SHP_30404_0,1.484703,110.331497,14
SHP_30404_0,1.470811,110.330611,15
SHP_30404_0,1.450203,110.266594,16
SHP_30404_0,1.442236,110.245658,17
SHP_30404_0,1.444064,110.232961,18
SHP_30404_0,1.442436,110.229408,19
SHP_30404_0,1.441675,110.226828,20
SHP_30404_0,1.431633,110.19645,21
SHP_30404_0,1.427183,110.193128,22
SHP_30404_0,1.414561,110.158417,23
SHP_30404_0,1.415356,110.155689,24
SHP_30404_0,1.417972,110.154792,25
SHP_30405_0,1.558621,110.341297,1
SHP_30405_0,1.5603835,110.3449161,2
SHP_30405_0,1.557758,110.348589,3
SHP_30405_0,1.558278,110.351192,4
SHP_30405_0,1.556958,110.355125,5
SHP_30405_0,1.552528,110.3616,6
SHP_30405_0,1.552317,110.363881,7
SHP_30405_0,1.550658,110.367503,8
SHP_30405_0,1.54965,110.370433,9
SHP_30405_0,1.549811,110.374383,10
SHP_30405_0,1.548828,110.377108,11
SHP_30405_0,1.549808,110.379289,12
SHP_30405_0,1.557717,110.383117,13
SHP_30405_0,1.560583,110.384842,14
SHP_30405_0,1.586806,110.418003,15
SHP_30405_0,1.586867,110.425722,16
SHP_30405_0,1.588806,110.429178,17
