stop_id,stop_name,stop_lat,stop_lon,zone
6520,MATANG JAYA,1.573178,110.296775,
6521,TERMINAL SAUJANA PARKING,1.557719,110.342517,
6523,EMART MATANG,1.5726523,110.3028535,
6527,OPP BANGUNAN MARZUKI,1.5568129,110.3227775,
6530,PENDIDIKAN JALAN MATANG,1.564783,110.312733,
6534,COPAL SATOK,1.554181,110.335272,
6535,SEGO PRECINT 1,1.554324,110.3320463,
6537,TAMAN SEJOLI,1.564611,110.3215,
6538,HERITAGE,1.560667,110.321806,
6539,AMBANK SATOK,1.554839,110.338447,
6541,BANGUNAN MARZUKI,1.5567616,110.3232155,
6542,TAMAN HUSSEIN,1.5642441,110.3218053,
6543,JALAN SEMARAK,1.563486,110.315975,
6545,TAMAN DAHLIA,1.5673788,110.3102435,
6554,JLN LAKSAMANA CHENG HO 3,1.522936,110.344206,
6558,BOULEVARD,1.507922,110.335478,
6559,JALAN DB MUSTAPHA,1.499489,110.333686,
6561,OPP BEDDING & CO,1.505953,110.333433,
6562,EVERISE BATU 4,1.507883,110.333664,
6563,THE BANQUET RESIDENCES,1.514878,110.333564,
6566,OPP KOMPLEKS BELIA SUKAN,1.53895,110.3371167,
6567,SM SAINS,1.567528,110.257972,
6568,JLN TAZA (OPP SGH),1.543331,110.337356,
6570,KEK LAPIS WARISAN,1.546672,110.337494,
6571,JLN TAZA (OPP BADARUDDIN),1.550003,110.341269,
6572,TAMAN MALIHAH 3,1.555022,110.249097,
6573,JALAN NANAS BARAT,1.5496243,110.3251654,
6578,POH KWONG PARK,1.54075,110.328353,
6580,OPP LAVIZO,1.519139,110.329281,
6581,SUNNY HILL,1.521283,110.3352,
6582,OPP TIMBERLAND,1.522656,110.338933,
6583,LEVEL UP ROCK ROAD,1.5267416,110.341313,
6585,OPP ROCK ROAD SEAFOOD,1.5343815,110.3412533,
6586,TM BATU LINTANG,1.534631,110.345392,
6588,SHELL BATU LINTANG,1.5398813,110.3533747,
6589,THE SPRING KUCHING,1.536758,110.356328,
6590,BANGUNAN SULTAN ISKANDAR,1.5320537,110.3587649,
6591,WATERFRONT 1,1.5603835,110.3449161,
6595,JALAN ABELL,1.556958,110.355125,
6605,KOLEJ KOMUNITI SANTUBONG,1.5867975,110.4179573,
6606,DEMAK LAUT INDUSTRIAL PARK,1.586867,110.425722,
6607,SEB SUBSTATION SEJINGKAT,1.5887987,110.4292266,
6608,SK PAJAR SEJINGKAT,1.5943443,110.4383087,
6610,SMK BAKO,1.6453768,110.4487652,
6611,KAMPUNG HIJRAH,1.6572385,110.4394772,
6614,PCC DEMAK,1.5913,110.434075,
6629,JALAN KWONG LEE BANK,1.554106,110.381253,
6630,OPP PETRON JLN PENDING,1.5495339,110.3792087,
6631,CHUNG HUA MIDDLE SCHOOL NO 1,1.548658,110.376061,
6632,OPP SUBARU KUCHING,1.549706,110.374222,
6633,OPP TOYOTA BORNEO MOBILITY,1.5497825,110.3712833,
6636,RIVERSIDE MAJESTIC HOTEL,1.558186,110.351792,
6638,HERITAGE GARDEN,1.560731,110.321789,
